Fan_ID,edad,sexo,localidad,canal,visitas_app,Frecuencia_Visitas_Web,tiempo_medio_sesion_min,rebote_pct,Interacciones_RRSS,uso_newsletter,clickrate_newsletter,Compras_Ecommerce,Gasto_Total_€,frecuencia_compra_mensual,categoria_fav,conversion_entrada,conversion_merch,conversion_abono,clicks_banner,antiguedad_anios,Miembro_Programa_Fidelidad,uso_app_oficial,participacion_eventos,Nivel_Fan,Fan_Score
32,40,Hombre,Sevilla,B2C,2,11,4.4,0.49,19,0,0.67,4,103.85,0.26,Merchandising,0,1,0,17,6,0,0,1,Fiel Tradicional,0.4089476116688558
33,64,Mujer,Sevilla,B2B,4,6,3.7,0.37,20,1,0.52,3,109.47,1.18,Digital,1,1,0,11,7,0,0,1,Internacional Ocasional,0.346281025739758
34,42,Hombre,Andalucía,B2C,6,8,3.1,0.39,24,0,0.9,3,56.29,4.66,Abonos,0,0,0,13,12,1,0,2,Joven Digital,0.5379140258753556
35,57,Hombre,Sevilla,B2C,4,17,6.2,0.49,23,1,0.16,5,106.01,0.75,Abonos,0,0,0,12,10,1,1,2,Internacional Ocasional,0.7329876626784378
36,43,Mujer,Sevilla,B2C,6,14,3.0,0.1,27,0,0.8,1,59.36,2.04,Entradas,0,0,0,13,1,0,1,3,Corporativo,0.3796945532158912
37,31,Hombre,España,B2C,8,12,2.4,0.15,20,1,0.79,3,70.29,0.85,Digital,0,1,0,8,7,0,0,0,Corporativo,0.3632061043812552
38,30,Hombre,Andalucía,B2C,7,12,5.0,0.72,19,0,0.13,3,69.67,0.82,Abonos,0,0,0,18,10,0,1,1,Fiel Tradicional,0.3541411644634626
39,62,Mujer,Andalucía,B2C,5,14,2.8,0.15,12,1,0.4,5,45.06,3.2,Digital,0,0,1,1,8,0,0,2,Internacional Ocasional,0.3378204013485244
40,66,Hombre,Sevilla,B2C,2,10,2.6,0.59,18,1,0.17,2,22.93,2.65,Abonos,0,0,1,10,6,0,0,1,Internacional Ocasional,0.2446015031679144
41,59,Hombre,Sevilla,B2C,1,9,1.8,0.74,17,0,0.25,0,111.71,1.85,Merchandising,0,0,1,16,0,0,1,2,Fiel Tradicional,0.2805031968971931
42,67,Hombre,Sevilla,B2C,7,14,3.3,0.29,22,0,0.26,2,53.93,0.42,Merchandising,0,0,0,1,5,0,1,2,Joven Digital,0.3566204288821055
43,18,Mujer,Sevilla,B2C,4,7,3.9,0.36,20,0,0.56,4,66.91,0.94,Entradas,0,1,0,18,7,0,1,1,Fiel Tradicional,0.3315860895379637
44,52,Mujer,Sevilla,B2B,1,10,4.4,0.5,26,1,0.41,1,53.08,0.3,Merchandising,1,0,0,6,4,0,0,1,Fiel Tradicional,0.3218454900304629
45,66,Mujer,Sevilla,B2B,6,10,5.4,0.72,22,1,0.95,4,67.3,0.7,Abonos,0,1,0,17,11,0,0,1,Corporativo,0.3802919077148887
46,22,Hombre,Sevilla,B2B,5,12,4.8,0.76,29,1,0.13,2,59.82,0.79,Entradas,0,1,0,12,14,0,1,1,Internacional Ocasional,0.4008513931888545
47,36,Hombre,Sevilla,B2B,8,9,3.7,0.62,24,1,0.97,1,113.37,2.14,Entradas,0,0,0,4,1,1,0,4,Corporativo,0.5657953478598852
48,24,Mujer,Andalucía,B2C,5,12,3.7,0.16,28,1,0.23,2,57.28,2.72,Merchandising,1,0,1,17,14,0,1,2,Fiel Tradicional,0.3895208328804783
49,54,Hombre,Sevilla,B2C,4,9,4.8,0.57,24,0,0.77,2,126.44,0.64,Digital,0,1,0,15,4,1,0,3,Internacional Ocasional,0.6062180866645344
50,33,Hombre,Sevilla,B2C,10,12,5.9,0.39,19,0,0.34,2,109.18,0.02,Merchandising,0,1,0,14,7,1,1,0,Fiel Tradicional,0.5757633840634391
51,19,Mujer,Andalucía,B2C,7,8,4.2,0.43,24,0,0.14,3,60.77,2.37,Merchandising,0,0,0,7,1,1,0,1,Fiel Tradicional,0.543200473453384
52,40,Mujer,Andalucía,B2C,4,16,3.3,0.13,17,1,0.86,4,84.59,0.23,Entradas,0,0,0,14,0,1,0,1,Joven Digital,0.6221855194065168
53,29,Hombre,Sevilla,B2C,8,13,2.5,0.23,20,1,0.31,2,90.58,1.17,Merchandising,1,0,0,0,14,0,0,1,Corporativo,0.3726748356524682
54,65,Hombre,España,B2C,5,6,1.8,0.65,17,0,0.66,0,100.25,0.03,Abonos,0,1,0,16,3,1,1,2,Corporativo,0.4354013278224767
55,24,Hombre,Andalucía,B2C,5,9,5.0,0.42,23,1,0.57,2,103.21,0.61,Entradas,1,1,0,14,3,0,1,1,Fiel Tradicional,0.3704731066263806
56,41,Mujer,Sevilla,B2C,5,8,4.9,0.31,22,1,0.47,2,80.6,5.12,Merchandising,0,0,0,13,8,0,0,1,Joven Digital,0.3249334173832126
57,68,Mujer,España,B2C,2,9,4.9,0.37,23,1,0.5,1,46.37,0.13,Digital,0,1,1,13,2,1,1,1,Fiel Tradicional,0.4784013029801478
58,17,Mujer,Internacional,B2C,3,10,3.8,0.7,26,0,0.73,1,94.23,0.66,Abonos,1,0,0,9,3,1,0,2,Fiel Tradicional,0.570402927047396
59,35,Mujer,Sevilla,B2C,4,7,6.1,0.62,17,0,0.09,1,67.9,0.44,Digital,0,1,0,1,2,1,0,0,Fiel Tradicional,0.4327543000518584
60,43,Hombre,Sevilla,B2B,9,12,3.3,0.29,20,1,0.67,1,0.0,2.83,Abonos,0,0,0,5,1,1,0,2,Joven Digital,0.4302631578947368
61,62,Mujer,España,B2C,0,9,5.4,0.18,18,1,0.9,2,86.71,2.44,Digital,0,0,1,16,3,1,0,2,Internacional Ocasional,0.509336264728137
62,22,Mujer,España,B2C,5,13,3.9,0.28,13,1,0.06,1,52.98,0.33,Merchandising,0,0,0,4,13,1,0,2,Joven Digital,0.444973103003541
63,59,Mujer,Sevilla,B2B,5,13,3.1,0.74,16,0,0.14,2,61.25,0.1,Abonos,0,0,0,4,7,1,0,4,Fiel Tradicional,0.5047317908317315
64,23,Mujer,Sevilla,B2B,5,9,4.9,0.51,16,0,0.72,4,75.18,1.18,Entradas,1,0,0,14,0,0,1,1,Internacional Ocasional,0.3290640756117682
65,62,Mujer,Sevilla,B2B,5,7,4.6,0.47,21,1,0.44,4,28.39,0.49,Entradas,1,0,1,14,7,1,1,2,Fiel Tradicional,0.4944654137852152
66,50,Hombre,Andalucía,B2C,4,10,4.5,0.52,20,1,0.4,2,79.17,1.34,Digital,0,0,0,19,7,1,1,1,Joven Digital,0.5276319671087566
67,29,Hombre,Andalucía,B2C,9,9,4.1,0.36,21,1,0.14,2,65.5,0.04,Digital,0,0,0,10,14,1,0,3,Joven Digital,0.5093082394759096
68,32,Mujer,Sevilla,B2C,6,8,3.9,0.66,20,1,0.51,2,48.68,0.17,Digital,0,0,0,4,2,0,1,1,Internacional Ocasional,0.270600811723095
69,51,Hombre,Andalucía,B2C,2,7,7.6,0.47,25,0,0.13,0,76.39,1.39,Abonos,0,1,0,0,13,0,1,4,Joven Digital,0.2844392568831365
70,65,Mujer,España,B2C,6,7,5.8,0.18,14,1,0.48,1,24.29,0.29,Entradas,0,1,0,10,9,0,0,0,Fiel Tradicional,0.15629403690949
71,55,Mujer,Sevilla,B2C,6,12,5.1,0.19,28,1,0.76,0,77.27,2.34,Merchandising,0,0,0,10,9,1,1,2,Internacional Ocasional,0.5631092451761891
72,19,Hombre,Sevilla,B2C,6,6,4.2,0.48,18,0,0.26,1,89.12,0.07,Abonos,0,0,0,5,11,0,0,0,Corporativo,0.2556011429541462
73,17,Hombre,España,B2C,5,9,5.5,0.76,20,1,0.48,1,84.16,0.29,Digital,0,0,1,7,11,0,0,2,Fiel Tradicional,0.2979939043135599
74,21,Mujer,España,B2C,2,10,4.8,0.32,28,0,0.99,3,98.67,7.85,Entradas,0,1,0,1,5,0,0,2,Corporativo,0.4423088408672871
75,69,Mujer,Andalucía,B2C,5,9,4.0,0.71,16,0,0.69,2,109.96,0.68,Digital,0,1,1,14,12,1,0,0,Internacional Ocasional,0.5201048449786925
76,57,Mujer,Andalucía,B2C,3,12,3.5,0.63,18,0,0.84,2,72.56,1.46,Merchandising,1,0,0,8,12,1,1,3,Internacional Ocasional,0.5242180618222055
77,19,Hombre,Sevilla,B2C,3,7,3.9,0.27,19,0,0.41,3,107.86,0.24,Merchandising,0,1,0,14,3,1,0,4,Fiel Tradicional,0.5465741910975443
78,69,Mujer,Andalucía,B2C,3,7,-0.8,0.13,17,0,0.77,1,72.45,1.13,Entradas,0,1,0,7,12,0,0,1,Joven Digital,0.2381233483732932
79,44,Mujer,Andalucía,B2B,6,9,4.3,0.17,14,1,0.04,6,54.02,1.55,Abonos,0,1,0,15,0,0,1,2,Fiel Tradicional,0.3374283842238791
80,33,Mujer,Sevilla,B2C,6,8,3.3,0.61,21,1,0.12,2,63.22,0.45,Merchandising,0,0,0,13,13,0,1,2,Joven Digital,0.296091499472618
81,41,Hombre,Sevilla,B2C,4,12,6.4,0.24,29,1,0.2,4,83.01,2.12,Merchandising,0,0,0,14,0,0,1,0,Joven Digital,0.478215839468871
82,59,Mujer,Sevilla,B2C,5,13,4.0,0.36,14,0,0.4,2,107.56,1.11,Merchandising,0,0,0,19,4,1,0,1,Fiel Tradicional,0.5427114159816913
83,49,Mujer,Sevilla,B2C,5,14,2.2,0.45,26,0,0.85,0,75.04,0.59,Merchandising,1,0,0,12,11,0,0,1,Internacional Ocasional,0.3648637864056566
84,25,Hombre,Sevilla,B2C,7,12,3.9,0.61,30,1,0.35,3,54.79,0.98,Digital,0,0,0,8,7,0,1,3,Fiel Tradicional,0.428249273103107
85,51,Mujer,Sevilla,B2C,5,8,2.4,0.18,10,0,0.65,1,118.33,1.03,Digital,0,0,0,0,0,0,0,0,Corporativo,0.2444552180794188
86,29,Mujer,Sevilla,B2C,3,7,4.7,0.38,18,0,0.71,1,31.96,0.22,Abonos,0,0,0,5,1,0,0,3,Internacional Ocasional,0.1986780516989565
87,46,Hombre,Sevilla,B2C,4,4,4.4,0.44,21,1,0.59,2,54.98,0.62,Entradas,1,0,1,7,6,1,0,0,Joven Digital,0.4442629488051358
88,63,Mujer,España,B2B,7,10,5.4,0.48,22,1,0.36,1,101.78,0.5,Entradas,1,0,0,19,7,0,0,2,Internacional Ocasional,0.3459786738957843
89,30,Hombre,Andalucía,B2C,5,9,2.8,0.67,14,1,0.58,3,127.99,0.61,Entradas,1,0,0,17,11,1,0,2,Fiel Tradicional,0.5497137697923492
90,23,Hombre,Andalucía,B2C,7,10,4.1,0.22,17,1,0.34,2,89.42,1.72,Merchandising,0,1,1,17,13,0,0,2,Internacional Ocasional,0.3147270759647363
91,29,Mujer,España,B2B,8,4,2.0,0.67,22,0,0.08,4,82.5,0.79,Digital,1,1,1,16,2,0,0,1,Joven Digital,0.3350701744034994
92,38,Mujer,Andalucía,B2B,7,8,5.1,0.59,15,1,0.99,0,66.27,3.38,Digital,0,0,0,15,10,0,0,0,Joven Digital,0.1996905318639095
93,55,Mujer,Sevilla,B2C,5,6,4.8,0.49,17,0,0.13,2,91.44,0.42,Abonos,0,0,0,12,11,0,0,4,Internacional Ocasional,0.2750054342594346
94,36,Mujer,Andalucía,B2C,8,6,4.7,0.59,17,1,0.07,2,78.88,0.64,Entradas,1,0,0,3,12,1,0,0,Corporativo,0.4601845008710342
95,31,Hombre,Andalucía,B2C,4,15,4.0,0.39,10,0,0.88,2,52.36,1.86,Digital,1,0,0,3,7,0,1,2,Joven Digital,0.2652941279980291
96,60,Mujer,España,B2C,6,13,4.6,0.2,23,1,0.3,3,65.73,0.95,Abonos,0,1,0,13,0,0,1,0,Corporativo,0.393351571743093
97,33,Hombre,Andalucía,B2C,8,15,6.4,0.57,16,0,0.65,3,48.98,0.95,Entradas,0,0,0,4,8,0,0,0,Joven Digital,0.3363056921021061
98,62,Mujer,Sevilla,B2C,6,8,3.6,0.47,22,1,0.33,0,75.41,0.07,Merchandising,0,0,0,15,11,0,0,4,Internacional Ocasional,0.2688091622649165
99,68,Mujer,Sevilla,B2C,3,9,4.2,0.55,24,1,0.39,2,79.86,0.61,Digital,0,1,0,13,1,1,0,2,Joven Digital,0.5512531919804822
100,39,Mujer,Sevilla,B2B,8,10,2.4,0.34,15,1,0.26,2,124.03,0.38,Digital,0,0,0,13,13,0,0,1,Corporativo,0.3389005768595777
101,41,Hombre,Andalucía,B2B,4,12,2.7,0.73,20,1,0.34,3,57.08,8.78,Entradas,1,0,0,13,12,0,0,1,Corporativo,0.3476181640897925
102,40,Mujer,Andalucía,B2C,7,8,4.1,0.51,22,1,0.41,3,69.58,0.44,Merchandising,0,0,0,13,1,1,0,1,Internacional Ocasional,0.5369297003497593
103,60,Mujer,Sevilla,B2C,2,11,5.7,0.16,19,1,0.72,1,112.78,2.59,Merchandising,1,0,0,18,3,0,1,0,Corporativo,0.3444851065063093
104,56,Mujer,Internacional,B2C,10,10,3.6,0.41,17,1,0.51,1,129.15,1.35,Digital,1,0,0,2,11,0,1,3,Corporativo,0.3366088979011337
105,44,Mujer,Andalucía,B2C,6,9,3.6,0.63,24,1,0.94,2,89.24,0.5,Entradas,0,0,0,16,9,0,0,0,Internacional Ocasional,0.3623216915969787
106,30,Hombre,Sevilla,B2C,4,8,3.4,0.66,21,1,0.04,1,67.39,0.94,Abonos,1,0,0,13,2,0,0,0,Joven Digital,0.2760121437584166
107,60,Mujer,Sevilla,B2C,5,6,3.2,0.45,14,1,0.5,2,60.81,2.2,Digital,0,1,0,9,3,1,1,2,Internacional Ocasional,0.4138617089659069
108,16,Hombre,Sevilla,B2C,6,17,4.4,0.73,16,1,0.58,5,19.71,2.58,Merchandising,0,0,0,12,5,0,0,4,Joven Digital,0.3728194128308558
109,40,Hombre,Sevilla,B2C,4,13,1.8,0.29,21,1,0.92,4,47.17,0.21,Abonos,0,1,0,3,6,1,1,1,Joven Digital,0.5797839079674524
110,22,Hombre,Sevilla,B2C,5,13,5.9,0.39,23,1,0.05,3,78.05,0.5,Entradas,0,0,0,10,4,0,0,1,Joven Digital,0.4078893025826706
111,24,Hombre,Sevilla,B2C,6,11,3.0,0.73,13,1,0.57,4,69.57,0.49,Merchandising,1,0,0,14,1,1,1,1,Fiel Tradicional,0.5184968476119793
112,39,Hombre,Sevilla,B2C,3,11,5.1,0.73,15,1,0.85,0,93.7,0.05,Abonos,1,0,0,14,2,0,1,0,Joven Digital,0.2636371705415524
113,16,Hombre,Sevilla,B2C,7,4,2.1,0.58,18,0,0.24,0,69.14,1.09,Digital,0,0,0,1,9,0,1,3,Internacional Ocasional,0.1859718991856891
114,59,Mujer,España,B2B,7,8,5.0,0.7,14,1,0.88,0,53.22,2.32,Merchandising,1,0,0,10,10,0,0,0,Internacional Ocasional,0.1759580599383289
115,23,Hombre,Sevilla,B2C,8,9,5.0,0.16,17,1,0.02,1,85.24,0.58,Entradas,0,0,0,1,2,0,0,1,Internacional Ocasional,0.2742683157832631
116,39,Hombre,Andalucía,B2C,4,11,4.6,0.71,25,1,0.73,2,150.16,1.62,Merchandising,1,1,0,4,13,1,0,2,Fiel Tradicional,0.6635939034854823
117,26,Hombre,Andalucía,B2C,7,9,2.5,0.32,24,1,0.93,1,65.48,1.19,Digital,0,0,1,12,4,1,1,2,Corporativo,0.5092846392635078
118,66,Mujer,Internacional,B2C,3,7,4.4,0.22,17,0,0.66,1,79.17,0.57,Entradas,0,0,0,0,11,0,0,1,Fiel Tradicional,0.2460530197403355
119,32,Mujer,Sevilla,B2C,4,8,2.2,0.27,19,1,0.44,0,100.41,0.18,Digital,0,1,0,6,10,0,0,0,Internacional Ocasional,0.273309427767306
120,23,Hombre,Sevilla,B2C,4,11,3.6,0.39,16,1,0.04,3,57.85,1.48,Abonos,0,0,1,6,11,0,0,3,Internacional Ocasional,0.3046671231444591
121,50,Mujer,Internacional,B2C,0,9,5.5,0.28,20,1,0.92,3,113.18,2.31,Merchandising,0,0,1,9,4,1,0,2,Corporativo,0.5822378125087336
122,50,Hombre,España,B2C,1,7,5.2,0.32,12,0,0.47,2,27.63,1.39,Digital,1,1,0,5,3,1,0,2,Fiel Tradicional,0.3685686057139427
123,48,Hombre,España,B2B,1,13,4.0,0.19,16,1,0.03,2,62.77,0.02,Abonos,0,0,0,19,7,0,0,3,Internacional Ocasional,0.3065254069742767
124,20,Mujer,Sevilla,B2C,7,8,2.5,0.31,15,1,0.69,1,65.66,0.29,Entradas,1,0,0,11,5,1,0,3,Joven Digital,0.4239707253856513
125,57,Hombre,Sevilla,B2C,5,8,5.0,0.5,16,0,0.48,0,79.53,0.09,Entradas,0,0,0,12,5,1,0,1,Joven Digital,0.4236708060197103
126,54,Mujer,Andalucía,B2B,5,11,4.0,0.41,29,0,0.12,1,15.86,1.01,Abonos,0,0,0,10,0,0,1,3,Internacional Ocasional,0.313451810539979
127,56,Mujer,Internacional,B2C,8,9,0.5,0.34,18,0,0.21,0,115.58,1.7,Abonos,0,0,0,17,5,1,1,1,Joven Digital,0.4934031713302963
128,43,Hombre,Andalucía,B2B,3,6,5.2,0.62,10,1,0.06,4,87.43,0.14,Entradas,0,0,0,1,2,0,1,3,Corporativo,0.261940258339518
129,22,Hombre,Andalucía,B2C,5,6,4.0,0.73,22,0,0.57,2,108.68,2.19,Digital,0,1,0,15,12,0,0,1,Internacional Ocasional,0.3370154840165491
130,24,Mujer,Sevilla,B2C,3,16,5.8,0.63,29,0,0.62,1,123.39,0.97,Abonos,0,1,0,1,5,0,1,3,Fiel Tradicional,0.4929699314662253
131,23,Hombre,España,B2C,5,19,2.4,0.33,23,1,0.51,5,52.78,1.41,Digital,0,0,1,18,9,0,0,2,Internacional Ocasional,0.4912283289496974
132,27,Hombre,Sevilla,B2C,1,12,-0.8,0.62,20,0,0.82,1,0.17,4.27,Entradas,0,0,0,5,12,0,0,3,Corporativo,0.230463759700153
133,49,Hombre,Sevilla,B2C,7,14,4.4,0.21,19,0,0.86,2,109.39,0.1,Digital,1,1,0,0,10,0,0,0,Fiel Tradicional,0.3970638178726064
134,48,Mujer,Andalucía,B2C,2,10,4.4,0.19,18,1,0.62,3,66.41,2.78,Digital,0,0,0,10,12,1,0,0,Corporativo,0.5209083649296703
135,63,Mujer,Andalucía,B2C,4,8,1.5,0.34,20,1,0.01,1,41.0,0.16,Abonos,0,0,0,17,5,0,0,1,Joven Digital,0.2365383301607609
136,38,Hombre,Sevilla,B2C,6,13,2.5,0.67,15,1,0.7,1,92.29,0.6,Digital,0,0,0,9,1,0,1,1,Joven Digital,0.308025987146165
137,39,Mujer,Sevilla,B2C,7,17,8.1,0.27,23,1,0.42,2,148.91,2.29,Digital,1,1,1,17,0,1,0,1,Joven Digital,0.7086101182805382
138,52,Mujer,Andalucía,B2B,9,3,3.5,0.14,20,1,0.57,1,71.73,2.84,Digital,1,0,1,0,10,0,0,2,Corporativo,0.2201684775689297
139,50,Mujer,Sevilla,B2B,4,10,5.1,0.19,20,1,0.65,1,103.53,0.85,Entradas,0,1,0,18,14,0,0,1,Corporativo,0.3313770258142849
140,59,Mujer,Andalucía,B2B,1,9,3.0,0.7,20,0,0.35,2,45.37,1.08,Entradas,0,0,0,15,2,1,0,1,Internacional Ocasional,0.4772212923600523
141,55,Mujer,Sevilla,B2C,4,18,0.9,0.54,22,0,0.92,0,24.4,1.48,Merchandising,0,0,0,6,4,1,0,3,Fiel Tradicional,0.5138799784285778
142,37,Hombre,Andalucía,B2C,6,10,3.7,0.28,13,1,0.13,3,102.42,2.15,Entradas,0,0,0,14,14,0,0,1,Fiel Tradicional,0.3217338806926455
143,42,Hombre,Andalucía,B2C,3,15,3.6,0.49,14,0,0.67,1,91.38,0.16,Entradas,0,0,0,0,14,0,1,2,Corporativo,0.319671475727492
144,50,Hombre,Sevilla,B2C,4,8,3.4,0.47,20,1,0.0,1,61.03,1.99,Merchandising,1,1,0,8,3,1,0,3,Corporativo,0.4601739428812754
145,16,Mujer,Sevilla,B2C,2,14,3.8,0.56,21,1,0.92,1,126.19,0.79,Merchandising,0,1,0,1,6,0,0,2,Joven Digital,0.4085546629568789
146,50,Mujer,Sevilla,B2C,6,11,4.4,0.26,19,0,0.11,3,22.07,0.72,Abonos,0,0,0,16,3,0,1,1,Corporativo,0.2874463431574393
147,52,Hombre,Sevilla,B2C,8,9,3.8,0.71,23,0,0.09,3,38.1,0.66,Abonos,1,1,0,9,7,0,1,0,Joven Digital,0.3186426151519574
148,62,Mujer,Internacional,B2C,7,9,2.1,0.32,17,0,0.33,1,58.71,0.85,Entradas,0,1,1,5,6,0,1,4,Corporativo,0.2429626340321273
149,29,Hombre,Sevilla,B2C,2,9,4.7,0.59,22,1,0.37,2,64.31,3.48,Digital,0,0,0,4,9,1,1,1,Fiel Tradicional,0.5162373601713293
150,18,Hombre,España,B2C,6,9,1.1,0.11,25,1,0.21,2,118.96,0.95,Abonos,0,0,0,7,8,1,0,0,Internacional Ocasional,0.6057249405595527
151,16,Hombre,Sevilla,B2C,9,7,0.9,0.36,17,1,0.59,2,76.48,3.67,Abonos,0,0,0,7,0,1,0,2,Corporativo,0.4678787911722784
152,20,Mujer,Andalucía,B2B,3,10,5.1,0.35,22,0,0.44,1,69.21,0.24,Entradas,1,0,0,4,14,1,1,1,Joven Digital,0.5075457279992713
153,41,Mujer,España,B2C,8,8,4.8,0.48,21,1,0.03,2,36.9,1.55,Digital,0,0,0,11,4,0,1,3,Internacional Ocasional,0.2650336199517024
154,29,Hombre,Andalucía,B2C,7,10,3.9,0.15,18,1,0.32,2,107.6,2.01,Merchandising,0,0,0,6,12,0,0,1,Joven Digital,0.3445130023714073
155,54,Hombre,Andalucía,B2C,6,17,1.9,0.65,15,0,0.81,0,40.9,1.36,Merchandising,0,0,0,12,3,1,0,1,Joven Digital,0.4644905045373478
156,42,Hombre,Andalucía,B2C,10,10,2.9,0.25,19,1,0.69,3,36.76,1.12,Entradas,1,1,0,12,5,0,1,0,Internacional Ocasional,0.2942543833771697
